"announced","budget","coinvestigators","contest","descriptors","duration","panel","start"
"2011-03-15","37560","1","OPUS","HS1_7|HS6_1","30","HS1","2011-12-06"
"2011-09-15","23400","1","OPUS","HS3_1|HS3_6|HS3_5","10","HS3","2012-09-03"
"2011-03-15","39000","1","OPUS","HS1_1|HS1_5|HS1_6","36","HS1","2011-12-07"
"2011-03-15","94900","5","OPUS","NZ7_1|NZ7_12","18","NZ7","2011-12-07"
"2011-03-15","58908","1","OPUS","HS1_14","30","HS1","2011-12-06"
"2011-03-15","97500","8","OPUS","HS2_2|HS2_1|HS2_8","18","HS2","2011-12-01"
"2011-03-15","69850","3","OPUS","HS1_4|ST1_1|ST1_2","24","HS1","2011-12-14"
"2011-03-15","275700","2","OPUS","ST10_10|HS3_8","12","ST10","2011-12-15"
"2011-03-15","59800","16","OPUS","HS1_10|HS1_12","12","HS1","2011-12-06"
"2011-03-15","173100","4","OPUS","ST8_6|ST6_9","12","ST8","2011-12-16"
"2011-03-15","58750","1","OPUS","HS5_6","24","HS1","2011-12-06"
"2011-09-15","168560","2","OPUS","HS4_2|HS4_13|HS4_9","12","HS4","2012-08-02"
"2011-03-15","28442","1","OPUS","HS1_1","24","HS1","2011-12-06"
"2011-03-15","83125","4","OPUS","HS5_7|HS5_10|HS5_2","18","HS5","2011-12-08"
"2011-03-15","58075","1","OPUS","HS1_10","30","HS1","2011-12-14"
"2011-03-15","20000","4","OPUS","HS2_5|HS2_6","12","HS2","2011-12-20"
"2011-03-15","196050","10","OPUS","HS1_8|HS2_14|HS3_5","36","HS1","2011-12-06"
"2011-03-15","123682","4","OPUS","NZ9_7","18","NZ9","2011-12-12"
"2011-03-15","307000","12","OPUS","HS3_1|HS3_5|HS1_9","36","HS1","2011-12-15"
"2011-03-15","150800","4","OPUS","ST10_8","20","ST10","2011-12-15"
"2011-03-15","14760","1","OPUS","HS1_2|HS1_6|ST6_5","14","HS1","2011-12-16"
"2011-03-15","159410","3","OPUS","NZ6_1|NZ1_2|NZ6_2","18","NZ6","2011-12-12"
"2011-03-15","99700","1","OPUS","HS1_4","36","HS1","2011-12-16"
"2011-03-15","89850","4","OPUS","HS4_3","18","HS4","2011-12-06"
"2011-03-15","28956","1","OPUS","HS1_10","6","HS1","2011-12-16"
"2011-03-15","52500","1","OPUS","HS5_2","12","HS5","2011-12-08"
"2011-03-15","183908","1","OPUS","HS1_1","36","HS1","2011-12-06"
"2011-03-15","140000","2","OPUS","HS4_11|HS4_7","18","HS4","2011-12-01"
"2011-03-15","76800","1","OPUS","HS1_4","36","HS1","2011-12-07"
"2011-03-15","112000","2","OPUS","ST5_10|ST4_6|ST4_3","20","ST5","2011-12-12"
"2011-03-15","72540","1","OPUS","ST1_1|HS1_3|HS6_1","36","HS1","2011-12-06"
"2011-03-15","70000","2","OPUS","HS4_5|HS4_1|HS4_2","18","HS4","2011-12-01"
"2011-03-15","102500","1","OPUS","HS1_1|HS1_2","36","HS1","2011-12-06"
"2011-03-15","18250","1","OPUS","HS6_1","18","HS6","2011-12-15"
"2011-03-15","77400","6","OPUS","HS1_6|HS6_5|HS1_3","36","HS1","2011-12-06"
"2011-03-15","170200","2","OPUS","HS6_1|HS6_2","19","HS6","2011-12-16"
"2011-03-15","91500","4","OPUS","HS1_1","36","HS1","2011-12-07"
"2011-09-15","18850","1","OPUS","HS3_7","12","HS3","2012-08-09"
"2011-03-15","66300","1","OPUS","HS1_6","24","HS1","2011-12-16"
"2011-03-15","99274","8","OPUS","HS5_8|HS5_9","17","HS5","2011-12-01"
"2011-03-15","218830","6","OPUS","HS2_5|HS2_6|HS3_12","36","HS2","2011-12-13"
"2011-03-15","49920","2","OPUS","HS4_1","18","HS4","2011-12-01"
"2011-03-15","76800","4","OPUS","HS2_2","36","HS2","2011-12-01"
"2011-09-15","78000","3","OPUS","HS4_6|HS4_3","12","HS4","2012-08-30"
"2011-03-15","52000","1","OPUS","HS2_13","24","HS2","2011-12-01"
"2011-03-15","52400","1","OPUS","HS5_2","18","HS5","2011-12-08"
"2011-03-15","76800","3","OPUS","HS3_3|HS6_15","36","HS2","2011-12-19"
"2011-03-15","98250","2","OPUS","HS6_15|HS1_5","18","HS2","2011-12-06"
"2011-03-15","45000","2","OPUS","HS2_1","36","HS2","2011-12-01"
"2011-03-15","232480","5","OPUS","ST9_16|ST10_15","18","ST10","2011-12-27"
"2011-03-15","38250","2","OPUS","HS2_12|HS2_11","36","HS2","2011-12-06"
"2011-03-15","175800","5","OPUS","ST3_1|ST2_16","18","ST3","2011-12-01"
"2011-03-15","39371","1","OPUS","HS2_2|HS2_1|HS2_14","18","HS2","2011-12-29"
"2011-03-15","39390","3","OPUS","HS2_1|HS2_2|HS2_3","12","HS2","2011-12-01"
"2011-03-15","134431","11","OPUS","HS2_8|HS2_11|HS2_12","30","HS2","2011-12-01"
"2011-03-15","56940","4","OPUS","ST9_13|ST9_15|ST9_12","12","ST9","2011-12-07"
"2011-03-15","43800","1","OPUS","HS2_6","24","HS2","2011-12-01"
"2011-03-15","143400","3","OPUS","HS5_9|HS4_10|HS4_13","20","HS4","2011-12-08"
"2011-03-15","205609","12","OPUS","HS2_13","30","HS2","2011-12-01"
"2011-03-15","80500","3","OPUS","HS4_13|HS5_8|HS3_11","18","HS4","2011-12-08"
"2011-03-15","59570","1","OPUS","HS2_3|HS2_6|HS3_5","36","HS2","2011-12-01"
"2011-03-15","186400","4","OPUS","HS4_3","18","HS4","2011-12-06"
"2011-03-15","40200","3","OPUS","HS2_11","21","HS2","2011-12-06"
"2011-03-15","33500","1","OPUS","HS2_1|HS2_2|HS2_3","36","HS2","2011-12-01"
"2011-03-15","64500","1","OPUS","HS5_4|HS5_3","16","HS5","2011-12-01"
"2011-03-15","65000","1","OPUS","HS2_11|HS2_13","20","HS2","2011-12-01"
"2011-03-15","120220","3","OPUS","HS4_12|HS4_5","24","HS4","2011-12-08"
"2011-03-15","116000","5","OPUS","HS6_14|HS6_15","12","HS6","2011-12-09"
"2011-03-15","109200","1","OPUS","HS2_11","36","HS2","2011-12-01"
"2011-03-15","167000","6","OPUS","HS4_5|HS4_13|HS1_10","24","HS4","2011-12-13"
"2011-03-15","71500","3","OPUS","HS2_8|HS1_5|HS2_14","36","HS2","2011-12-06"
"2011-03-15","298926","6","OPUS","HS4_9","20","HS4","2011-12-06"
"2011-03-15","60280","1","OPUS","HS2_1|HS2_3","24","HS2","2011-12-01"
"2011-09-15","77050","10","OPUS","HS5_7","16","HS5","2012-10-08"
